Role	Rank	Last_word	pos	case	gender	animacy	number	link_name	t	r
пациенс	контролер согласования	масле	S	loc	n	inan	sg	nmod	stuff	concr
пациенс	объект	дедушку	S	acc	m	anim	sg	dobj	hum:kin	concr
пациенс	объект	деятельность	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	вас	SPRO	acc	pl	2p	acc	dobj		pers
пациенс	объект	фрагменты	S	acc	m	inan	pl	dobj	text	concr
пациенс	объект	выгоды	S	acc	f	inan	pl	nmod		abstr
пациенс	объект	медикаменты	S	acc	m	inan	pl	dobj	stuff	concr
пациенс	объект	звуки	S	acc	m	inan	pl	conj	sound	abstr
пациенс	периферия	сором	S	ins	m	inan	sg	conj		concr
пациенс	периферия	сферой	S	ins	f	inan	sg	dobj	space	abstr
пациенс	периферия	него	SPRO	acc	n	sg	3p	nmod		pers
пациенс	объект	пересчёт	S	acc	m	inan	sg	xcomp		abstr
пациенс	субъект	всё	SPRO	acc	n	sg	acc	dobj		spec
пациенс	объект	коробку	S	acc	f	inan	sg	dobj	tool	concr
пациенс	периферия	сеном	S	ins	n	inan	sg	conj	food:fodder stuff	concr
пациенс	объект	поэмы	S	acc	f	inan	pl	conj	text	concr
пациенс	периферия	зону	S	acc	f	inan	sg	dobj	space	concr
пациенс	объект	кирпич	S	acc	m	inan	sg	nsubj		concr
пациенс	периферия	приму	S	acc	anim	f	sg	nmod		abstr
пациенс	периферия	участников	S	acc	m	anim	pl	dobj	hum	concr
пациенс	объект	облака	S	acc	n	inan	pl	nmod		concr
пациенс	объект	мысли	S	acc	f	inan	pl	nmod	ment	abstr
пациенс	периферия	интерфейсом	S	ins	m	inan	sg	conj		
пациенс	объект	область	S	acc	f	inan	sg	dobj	space	concr
пациенс	периферия	великане	S	loc	m	anim	sg	nmod	hum	concr
пациенс	объект	письмо	S	acc	n	inan	sg	dobj	text	concr
пациенс	периферия	флотом	S	ins	m	inan	sg	dobj		concr
пациенс	объект	должок	S	acc	m	inan	sg	nsubj		abstr
пациенс	объект	свидетельство	S	acc	n	inan	sg	dobj		abstr
пациенс	периферия	путешествии	S	loc	n	inan	sg	nmod	move	abstr
пациенс	объект	костю	S	acc	persn	m	anim	dobj	hum persn	propn
пациенс	объект	оружие	S	acc	n	inan	sg	dobj	tool:weapon	concr
пациенс	объект	мэйнфреймы	S	acc	m	inan	pl	nmod		
пациенс	периферия	независимости	S	loc	f	inan	sg	nmod		abstr
пациенс	объект	голову	S	acc	f	inan	sg	dobj		concr
пациенс	периферия	блиндаж	S	acc	m	inan	sg	nmod	constr	concr
пациенс	объект	взгляды	S	acc	m	inan	pl	dobj	perc	abstr
пациенс	объект	книжки	S	acc	f	inan	pl	dobj	text	concr
пациенс	объект	ковш	S	acc	m	inan	sg	dobj	tool:dish	concr
пациенс	объект	жизнь	S	acc	f	inan	sg	conj	be:exist	abstr
пациенс	объект	проекты	S	acc	m	inan	pl	nsubj	ment	abstr
пациенс	периферия	местах	S	loc	n	inan	pl	nmod	space	concr
пациенс	объект	рыла	S	acc	n	inan	pl	conj		concr
пациенс	объект	кофточку	S	acc	f	inan	sg	dobj	tool:cloth	concr
пациенс	объект	свечку	S	acc	f	inan	sg	dobj	tool:light	concr
пациенс	периферия	прутом	S	ins	m	inan	sg	nmod	thing stuff	concr
пациенс	периферия	разработке	S	loc	f	inan	sg	nmod	be:appear	abstr
пациенс	объект	дружбу	S	acc	f	inan	sg	dobj	inter	abstr
пациенс	объект	горе	S	loc	f	inan	sg	nmod	space	concr
пациенс	периферия	правильность	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	ладони	S	acc	f	inan	pl	nmod		concr
пациенс	периферия	дом	S	acc	m	inan	sg	nmod	constr:build	concr
пациенс	объект	рукопись	S	acc	f	inan	sg	dobj	text	concr
пациенс	объект	кого	SPRO	acc	m	sg	acc	dobj		rel
пациенс	контролер согласования	пальцы	S	acc	m	inan	pl	dobj		concr
пациенс	периферия	привилегию	S	acc	f	inan	sg	nmod	poss	abstr
пациенс	объект	своеобразие	S	acc	n	inan	sg	nsubj		abstr
пациенс	периферия	которые	APRO	acc	inan	pl	acc	dobj	ord	rel
пациенс	периферия	чём	SPRO	loc	n	sg	loc	ROOT		rel
пациенс	объект	бельё	S	acc	inan	n	sg	amod		concr
пациенс	объект	страдание	S	acc	n	inan	sg	dobj	psych:emot	abstr
пациенс	объект	лицо	S	acc	n	inan	sg	dobj		concr
пациенс	объект	экзамены	S	acc	m	inan	pl	nsubj	action	abstr
пациенс	объект	переписку	S	acc	f	inan	sg	conj	inter	abstr
пациенс	объект	винты	S	acc	m	inan	pl	dobj	tool cardgame game	abstr concr
пациенс	периферия	лицо	S	acc	n	inan	sg	dobj		concr
пациенс	периферия	мужчину	S	acc	m	anim	sg	dobj	hum	concr
пациенс	контролер согласования	клеем	S	ins	m	inan	sg	nmod	stuff	concr
пациенс	периферия	пригорок	S	acc	m	inan	sg	nmod	space	concr
пациенс	периферия	этом	APRO	loc	n	sg	loc	det		dem
пациенс	объект	ход	S	acc	m	inan	sg	dobj	move	abstr
пациенс	объект	рукопись	S	acc	f	inan	sg	dobj	text	concr
пациенс	контролер согласования	саду	S	loc2	m	inan	sg	nmod	plot space	concr
пациенс	контролер согласования	гвозди	S	acc	m	inan	pl	dobj	tool	concr
пациенс	периферия	кончик	S	acc	m	inan	sg	dobj		concr
пациенс	периферия	ничем	SPRO	ins	n	sg	ins	nmod		neg
пациенс	объект	характер	S	acc	m	inan	sg	dobj		abstr
пациенс	объект	ним	SPRO	ins	m	sg	3p	nmod		pers
пациенс	периферия	появлении	S	loc	n	inan	sg	nmod	be:appear	abstr
пациенс	периферия	шляхтой	S	ins	inan	f	sg	dobj		concr
пациенс	объект	хворостину	S	acc	f	inan	sg	dobj	tool	concr
пациенс	периферия	теми	APRO	ins				nmod		dem
пациенс	объект	мери	S	acc	persn	f	anim	dobj	hum persn	propn
пациенс	периферия	языками	S	ins	m	inan	pl	conj		concr abstr
пациенс	периферия	краской	S	ins	f	inan	sg	nmod	impact	abstr
пациенс	периферия	тайны	S	acc	f	inan	pl	dobj	ment	abstr
пациенс	контролер согласования	цели	S	acc	f	inan	pl	dobj	space	concr
пациенс	объект	науку	S	acc	f	inan	sg	dobj		abstr
пациенс	контролер согласования	что-нибудь	SPRO	acc	n	inan	sg	ROOT		indet
пациенс	объект	отчество	S	acc	n	inan	sg	conj	name	concr abstr
пациенс	объект	иванько	S	acc	famn	m	anim	nmod	hum famn	propn
пациенс	объект	факс	S	acc	m	inan	sg	dobj	tool:device	concr
пациенс	объект	мазурку	S	acc	f	inan	sg	dobj	dance workmus	concr abstr
пациенс	периферия	дырой	S	ins	f	inan	sg	nmod	space	concr
пациенс	периферия	борцов	S	acc	m	anim	pl	dobj	hum	concr
пациенс	периферия	песком	S	ins	m	inan	sg	nmod	stuff	concr
пациенс	периферия	сыростью	S	ins	f	inan	sg	dobj		abstr
пациенс	объект	кожу	S	acc	f	inan	sg	dobj	stuff	concr
пациенс	объект	ключи	S	acc	m	inan	pl	dobj	tool space spring	concr
пациенс	периферия	виде	S	loc	m	inan	sg	nmod		abstr
пациенс	объект	угрозу	S	acc	f	inan	sg	dobj	speech	abstr
пациенс	объект	тезис	S	acc	m	inan	sg	dobj		abstr
пациенс	периферия	кармен	S	acc	persn	f	anim	dobj	hum persn	propn
пациенс	объект	план	S	acc	m	inan	sg	dobj	workart	concr
пациенс	объект	брюки	S	acc				conj	tool:cloth	concr
пациенс	периферия	зачёте	S	loc	m	inan	sg	nmod		abstr
пациенс	периферия	тима	S	acc	persn	m	anim	nsubj	hum persn	propn
пациенс	объект	володю	S	acc	persn	m	anim	nmod	hum persn	propn
пациенс	объект	ворота	S	acc				nmod	tool space	concr
пациенс	объект	гимн	S	acc	m	inan	sg	dobj	workmus	concr
пациенс	объект	дело	S	acc	n	inan	sg	dobj		abstr
пациенс	объект	папиросы	S	acc	f	inan	pl	dobj	tool	concr
пациенс	объект	голову	S	acc	f	inan	sg	dobj		concr
пациенс	объект	диаметр	S	acc	m	inan	sg	dobj		concr
пациенс	объект	заложника	S	acc	m	anim	sg	dobj	hum	concr
пациенс	объект	краску	S	acc	f	inan	sg	dobj	impact	abstr
пациенс	объект	элемент	S	acc	m	inan	sg	dobj		concr
пациенс	периферия	камень	S	acc	m	inan	sg	nmod	stone stuff	concr
пациенс	объект	воспоминания	S	acc	n	inan	pl	dobj	ment	abstr
пациенс	объект	православие	S	acc	n	inan	sg	name		abstr
пациенс	контролер согласования	автомобиль	S	acc	m	inan	sg	dobj	tool:transp	concr
пациенс	объект	выход	S	acc	m	inan	sg	dobj	move	abstr
пациенс	периферия	расценки	S	acc	f	inan	pl	nmod		abstr
пациенс	объект	обычай	S	acc	m	inan	sg	nsubj		abstr
пациенс	периферия	лейб-охрану	S	acc	f	inan	sg	nmod		
пациенс	контролер согласования	круг	S	acc	m	inan	sg	nsubj	form:geom	concr
пациенс	периферия	дробью	S	ins	f	inan	sg	nmod:agent	tool:shell sound	abstr concr
пациенс	периферия	совестью	S	ins	f	inan	sg	appos		abstr
пациенс	периферия	что	SPRO	acc	n	sg	acc	dobj		rel
пациенс	периферия	израиль	S	acc	m	inan	sg	conj	hum persn	propn
пациенс	объект	кошенкова	S	acc	famn	m	anim	dobj	hum famn	propn
пациенс	периферия	ушах	S	loc	n	inan	pl	nmod		concr
пациенс	периферия	манией	S	ins	f	inan	sg	dobj	psych disease	abstr
пациенс	периферия	подвиге	S	loc	m	inan	sg	conj		abstr
пациенс	субъект	столько	NUM	acc				advmod		
пациенс	объект	школу	S	acc	f	inan	sg	dobj	org	concr
пациенс	объект	понимание	S	acc	n	inan	sg	dobj	ment	abstr
пациенс	периферия	украшениями	S	ins	n	inan	pl	nmod		abstr
пациенс	объект	перемены	S	acc	f	inan	pl	dobj		abstr
пациенс	периферия	нормами	S	ins	f	inan	pl	conj	pers	abstr
пациенс	объект	толчею	S	acc	f	inan	sg	dobj	impact	abstr
пациенс	периферия	топоры	S	acc	m	inan	pl	dobj	tool:instr	concr
пациенс	объект	добро	S	acc	n	inan	sg	nmod		abstr
пациенс	несобственный	ходатайства	S	acc	n	inan	pl	dobj	speech	abstr
пациенс	объект	меня	SPRO	acc	sg	anim	1p	dobj		pers
пациенс	периферия	матерком	S	ins	m	inan	sg	dobj		
пациенс	объект	версии	S	acc	f	inan	pl	dobj		abstr
пациенс	объект	интересы	S	acc	m	inan	pl	dobj	ment	abstr
пациенс	периферия	позиции	S	loc	inan	f	pl	nsubj	loc	abstr
пациенс	объект	выкладки	S	acc	f	inan	pl	dobj	loc	abstr
пациенс	объект	подбородок	S	acc	m	inan	sg	conj		concr
пациенс	периферия	эпанчу	S	acc	f	inan	sg	nmod		
пациенс	периферия	военном	S	loc	m	anim	sg	nmod	hum prof	concr
пациенс	объект	аферу	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	лоскутки	S	acc	m	inan	pl	nmod		concr
пациенс	объект	расписку	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	загадки	S	acc	f	inan	pl	dobj	ment	abstr
пациенс	периферия	деревом	S	ins	n	inan	sg	nmod	plant	concr
пациенс	объект	невесту	S	acc	f	anim	sg	dobj	hum	concr
пациенс	объект	горе	S	loc	f	inan	sg	nmod	space	concr
пациенс	объект	вклад	S	acc	m	inan	sg	dobj	put	abstr
пациенс	объект	шёпот	S	acc	m	inan	sg	dobj	sound	abstr
пациенс	объект	улики	S	acc	f	inan	pl	dobj	thing	concr
пациенс	периферия	настроение	S	acc	n	inan	sg	conj	psych	abstr
пациенс	объект	самооценку	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	валенки	S	acc	m	inan	pl	parataxis	tool:cloth:boot	concr
пациенс	объект	атаку	S	acc	f	inan	sg	nmod	move	abstr
пациенс	контролер согласования	воображении	S	loc	n	inan	sg	nmod	ment	abstr
пациенс	объект	искры	S	acc	f	inan	pl	dobj	pers	concr
пациенс	объект	утверждение	S	acc	n	inan	sg	nmod		abstr
пациенс	объект	материал	S	acc	m	inan	sg	dobj	stuff	concr
пациенс	объект	глав	S	acc	m	anim	pl	dobj	text	concr
пациенс	контролер согласования	экспонаты	S	acc	m	inan	pl	dobj	thing	concr
пациенс	объект	прелести	S	acc	f	inan	pl	nsubj		abstr
пациенс	объект	искусство	S	acc	n	inan	sg	dobj		abstr
пациенс	объект	елей	S	acc	m	inan	sg	dobj	stuff	concr
пациенс	периферия	телами	S	ins	n	inan	pl	nmod:agent	thing	concr
пациенс	объект	сколько	NUM	acc				nsubj		
пациенс	объект	душу	S	acc	f	inan	sg	nmod		concr
пациенс	периферия	фанерой	S	ins	f	inan	sg	nmod	stuff	concr
пациенс	объект	корни	S	acc	m	inan	pl	dobj		concr
пациенс	объект	признаки	S	acc	m	inan	pl	conj		abstr
пациенс	объект	процесс	S	acc	m	inan	sg	dobj		abstr
пациенс	периферия	знание	S	acc	n	inan	sg	dobj	ment	abstr
пациенс	периферия	новациях	S	loc	f	inan	pl	nmod		abstr
пациенс	периферия	германом	S	ins	famn	m	anim	dobj	hum persn	propn
пациенс	объект	зыбина	S	acc	famn	m	anim	nmod	hum famn	propn
пациенс	периферия	спину	S	acc	f	inan	sg	dobj		concr
пациенс	объект	модель	S	acc	f	inan	sg	dobj	tool:model fam	concr
пациенс	объект	поприще	S	loc	n	inan	sg	nmod		abstr
пациенс	объект	небо	S	acc	n	inan	sg	dobj	space	concr
пациенс	объект	клеёнку	S	acc	f	inan	sg	dobj	stuff	concr
пациенс	периферия	жизнь	S	acc	f	inan	sg	conj	be:exist	abstr
пациенс	объект	расписку	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	покрой	S	acc	m	inan	sg	ROOT		abstr
пациенс	объект	кромку	S	acc	f	inan	sg	nmod	space	concr
пациенс	периферия	исполнении	S	loc	n	inan	sg	nmod		abstr
пациенс	периферия	формами	S	ins	f	inan	pl	conj		abstr
пациенс	периферия	них	SPRO	acc	pl	3p	acc	dobj		pers
пациенс	объект	новикова	S	acc	famn	m	anim	name	hum famn	propn
пациенс	периферия	место	S	acc	n	inan	sg	nmod	space	concr
пациенс	периферия	таинства	S	acc	inan	n	pl	nmod		abstr
пациенс	объект	имения	S	acc	n	inan	pl	dobj	space	concr
пациенс	объект	физику	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	отношение	S	acc	n	inan	sg	dobj	inter	abstr
пациенс	периферия	основание	S	acc	n	inan	sg	nmod	be:appear	abstr
пациенс	объект	деятельность	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	вывеску	S	acc	f	inan	sg	dobj	supporttext	concr
пациенс	объект	разницу	S	acc	f	inan	sg	dobj		abstr
пациенс	объект	кур	S	acc	f	anim	pl	dobj	animal topon	propn concr
пациенс	периферия	умника	S	acc	m	anim	sg	dobj	hum	concr
пациенс	объект	черту	S	acc	f	inan	sg	nmod	form	concr
пациенс	периферия	неё	SPRO	acc	f	sg	3p	amod		pers
пациенс	объект	вещь	S	acc	f	inan	sg	nsubj	thing	concr
пациенс	контролер согласования	фильмом	S	ins	m	inan	sg	nmod	stuff	concr
пациенс	объект	аборты	S	acc	m	inan	pl	nmod	physiol	abstr
пациенс	объект	тёлку	S	acc	f	anim	sg	dobj	animal	concr
пациенс	периферия	обязательства	S	acc	n	inan	pl	dobj		abstr
пациенс	объект	миграцию	S	acc	f	inan	sg	dobj	move	abstr
пациенс	объект	шок	S	acc	m	inan	sg	dobj		abstr
пациенс	периферия	временем	S	ins	n	inan	sg	nmod	param time	abstr
пациенс	объект	пристрастия	S	acc	n	inan	pl	dobj		abstr
пациенс	периферия	чём	SPRO	loc	n	sg	loc	ROOT		rel
пациенс	контролер согласования	кровать	S	acc	inan	f	sg	dobj	tool:furn	concr
пациенс	объект	растение	S	acc	n	inan	sg	dobj	plant	concr
пациенс	объект	малыша	S	acc	m	anim	sg	dobj	hum	concr
пациенс	объект	интерес	S	acc	m	inan	sg	dobj	ment	abstr
пациенс	объект	опасность	S	acc	f	inan	sg	nmod		abstr
